match_id,period,game_clock,match_min,team,opponent,passer,passer_pos,receiver,linesBrokenType,broke_D,broke_M,broke_A,completed,passType,ballHeight,start_x,start_y,end_x,end_y,length,depth_behind,line_x,iso_dist,n_line,near1_x,near1_y,near2_x,near2_y,side,run_x,run_y,run_mag,channel_type,attack_dir
3847,1,2113,35:13,United States,Iran,Yunus Musah,CM,Sergiño Dest,,False,False,False,True,S,G,26.08,-28.21,37.47,-31.43,11.84,10.65,26.82,11.37,7,26.82,-27.47,28.59,-20.88,Left,7.91,0.49,7.93,Type1_wide,-1.0
3847,1,2259,37:39,United States,Iran,Tyler Adams,CM,Antonee Robinson,,False,False,False,True,S,G,15.8,16.68,26.73,31.8,18.65,4.57,22.16,11.82,6,22.16,20.89,24.65,8.4,Right,10.34,2.04,10.54,Type3_switch,-1.0
3847,1,2265,37:45,United States,Iran,Weston McKennie,CM,Sergiño Dest,,False,False,False,True,O,G,16.2,8.64,44.67,-11.71,35.0,16.49,28.18,13.5,5,33.68,-3.87,28.18,-10.76,Left,12.86,5.54,14.0,Type2_halfspace,-1.0
3847,1,2837,47:17,United States,Iran,Weston McKennie,CM,Christian Pulisic,D,True,False,False,False,T,G,29.81,23.31,41.76,22.11,12.01,13.56,28.2,10.6,7,31.23,20.9,33.18,13.91,Right,12.56,-2.61,12.82,Type1_wide,-1.0
3847,1,2973,49:33,United States,Iran,Christian Pulisic,LW,Antonee Robinson,,False,False,False,True,S,G,0.8,21.73,20.35,29.41,21.01,2.04,18.32,14.22,3,18.32,15.34,16.68,6.46,Right,6.82,2.61,7.3,Type1_wide,-1.0
3847,1,3020,50:20,United States,Iran,Weston McKennie,CM,Antonee Robinson,,False,False,False,True,S,G,26.91,21.58,32.72,30.57,10.7,3.53,29.19,10.0,5,29.19,21.21,22.79,19.19,Right,7.4,-0.79,7.44,Type1_wide,-1.0
3847,1,3022,50:22,United States,Iran,Antonee Robinson,LB,Josh Sargent,,False,False,False,True,T,G,34.02,29.29,45.17,16.73,16.8,11.3,33.87,10.18,5,36.81,10.94,34.02,16.7,Right,9.98,-1.87,10.15,Type1_wide,-1.0
3847,1,3065,51:05,United States,Iran,Weston McKennie,CM,Timothy Weah,D,True,False,False,True,T,G,4.73,11.84,43.22,14.68,38.6,24.77,18.46,24.91,3,19.68,6.55,17.59,20.43,Right,23.34,10.91,25.77,Type2_halfspace,-1.0
3847,2,2748,45:48,United States,Iran,Yunus Musah,CM,Brenden Aaronson,M,False,True,False,False,S,G,7.36,-11.87,27.17,15.44,33.73,2.28,24.88,13.29,3,24.88,2.34,15.21,-7.92,Right,15.92,8.35,17.98,Type2_halfspace,1.0
3847,2,2802,46:42,United States,Iran,Brenden Aaronson,AM,Josh Sargent,MD,True,True,False,True,T,G,20.01,13.64,42.33,12.48,22.35,22.26,20.07,14.69,6,27.72,10.9,28.41,7.57,Right,14.08,4.17,14.68,Type2_halfspace,1.0
3847,2,2871,47:51,United States,Iran,Tyler Adams,CM,Antonee Robinson,,False,False,False,True,S,G,20.63,-21.13,32.52,24.24,46.9,2.23,30.3,16.5,5,30.3,7.89,34.91,7.46,Right,-3.74,3.28,4.97,Type1_wide,1.0
3847,2,2879,47:59,United States,Iran,Brenden Aaronson,AM,Antonee Robinson,D,True,False,False,True,T,G,29.71,18.71,46.48,25.52,18.1,12.52,33.95,16.14,5,33.95,15.34,34.66,5.61,Right,14.07,-4.52,14.78,Type2_halfspace,1.0
3847,2,3040,50:40,Iran,United States,Ahmad Nourollahi,CM,Mehdi Taremi,,False,False,False,False,T,G,18.43,26.65,26.2,7.62,20.55,9.32,16.88,4.86,7,24.63,12.23,22.77,3.83,Right,4.8,0.3,4.81,Type1_wide,-1.0
3847,2,3106,51:46,United States,Iran,Antonee Robinson,LB,Brenden Aaronson,,False,False,False,False,T,G,25.98,21.32,40.69,25.35,15.25,14.72,25.97,15.45,5,25.97,20.64,33.44,11.25,Right,9.76,7.72,12.45,Type1_wide,1.0
3847,2,3536,58:56,Iran,United States,Saman Ghoddos,AM,Ali Karimi,,False,False,False,True,T,G,29.61,31.42,41.87,21.13,16.0,13.7,28.16,12.77,7,31.21,14.09,29.91,28.55,Right,8.83,5.97,10.66,Type1_wide,-1.0
3847,2,3667,61:07,Iran,United States,Ali Gholizadeh,RM,Ramin Rezaeian,,False,False,False,True,T,G,23.11,-29.76,27.66,-25.72,6.08,3.99,23.67,3.4,5,25.54,-28.39,23.02,-27.58,Left,5.24,3.29,6.18,Type1_wide,-1.0
